,X,Y,NOMBRE,NRO_EST,bicisDisponibles,fecha,posicionesDisponibles,totales
0,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-19 22:51:55.460997,14.0,16.0
1,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-19 23:15:29.162675,14.0,16.0
2,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-19 23:34:21.675951,14.0,16.0
3,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-19 23:51:36.619720,14.0,16.0
4,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,2.0,2017-09-20 00:07:54.142386,16.0,16.0
5,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,2.0,2017-09-20 00:23:51.298097,16.0,16.0
6,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,2.0,2017-09-20 00:39:39.652832,16.0,16.0
7,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 00:55:29.199217,15.0,16.0
8,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 01:11:16.693750,15.0,16.0
9,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 01:27:04.710801,15.0,16.0
10,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 01:43:02.050960,15.0,16.0
11,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 01:58:49.839608,15.0,16.0
12,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 02:14:37.671382,15.0,16.0
13,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 02:30:27.133038,15.0,16.0
14,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 02:46:13.957412,15.0,16.0
15,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 03:01:58.005312,15.0,16.0
16,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 03:17:53.078397,15.0,16.0
17,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 03:33:55.630224,15.0,16.0
18,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 03:49:57.336235,15.0,16.0
19,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 04:05:55.097562,15.0,16.0
20,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 04:21:46.080603,15.0,16.0
21,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 04:37:29.895015,15.0,16.0
22,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 04:53:13.944065,15.0,16.0
23,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 05:08:58.414320,15.0,16.0
24,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 05:24:47.168096,15.0,16.0
25,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 05:40:34.154031,15.0,16.0
26,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 05:56:19.294980,15.0,16.0
27,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 06:12:04.749376,15.0,16.0
28,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 06:27:49.801220,15.0,16.0
29,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 06:43:37.183338,15.0,16.0
30,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,5.0,2017-09-20 06:59:23.881572,13.0,16.0
31,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,5.0,2017-09-20 07:15:12.432442,13.0,16.0
32,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,5.0,2017-09-20 07:31:00.164028,13.0,16.0
33,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,5.0,2017-09-20 07:46:49.943894,13.0,16.0
34,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,4.0,2017-09-20 08:02:41.127464,14.0,16.0
35,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 08:18:29.755926,15.0,16.0
36,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,4.0,2017-09-20 08:34:24.103318,14.0,16.0
37,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,5.0,2017-09-20 08:50:18.415091,13.0,16.0
38,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 09:06:09.955758,15.0,16.0
39,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,2.0,2017-09-20 09:22:05.866321,16.0,16.0
40,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,2.0,2017-09-20 09:38:04.906035,16.0,16.0
41,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,3.0,2017-09-20 09:54:01.693490,15.0,16.0
42,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,2.0,2017-09-20 10:09:59.685919,16.0,16.0
43,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,2.0,2017-09-20 10:26:00.480987,16.0,16.0
44,-58.392452073,-34.5831330758,FACULTAD DE DERECHO,01,4.0,2017-09-20 10:42:00.883077,14.0,16.0
