X,Y,AUTOMAT,DIRE_NORM,DOMICILIO,Horario,IMAGEN,NOMBRE,NRO_EST,OBSERV,disponibil,fecha
-58.391855160974465,-34.583580359021816,AUTOMÁTICA,"FIGUEROA ALCORTA, PRES. AV. y BIBILONI, JUAN A.",Av. Pres.Figueroa Alcorta y  Juan A.Bibiloni,Estación automática: disponibilidad las 24 horas,estacion_automatica.png,Facultad de Derecho,01,Abril 2015 (pasó de ser Manual a Automática),0.000000000000000,2017-09-18 02:18:56.421359
-58.374225456768116,-34.593035790603764,AUTOMÁTICA,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",Av. Dr.Jose Ramos Mejia y Del Libertador Av,Estación automática: disponibilidad las 24 horas,estacion_automatica.png,Retiro,02,Abril 2015 (pasó de ser Manual a Automática),5.000000000000000,2017-09-18 02:18:56.421359
-58.368321595510643,-34.61168855013559,AUTOMÁTICA,"HUERGO, ING. AV. y BELGRANO AV.",Av. Ing.Huergo y Av. Belgrano,Estación automática: disponibilidad las 24 horas,estacion_automatica.png,Aduana,03,Abril 2015 (pasó de ser Manual a Automática),5.263157894736842,2017-09-18 02:18:56.421359
-58.368354203177432,-34.602167830807367,AUTOMÁTICA,LAVALLE y BOUCHARD,Lavalle y Bouchard,Estación automática: disponibilidad las 24 horas,estacion_automatica.png,Plaza Roma,04,Abril 2015 (pasó de ser Manual a Automática),17.647058823529413,2017-09-18 02:18:56.421359
-58.368763968328551,-34.628393190290815,AUTOMÁTICA,"GARCIA, MARTIN AV. e IRALA",Av Martín García e Irala,Estación automática: disponibilidad las 24 horas,estacion_automatica.png,Parque Lezama,06,Abril 2015 (pasó de ser Manual a Automática),3.571428571428571,2017-09-18 02:18:56.421359
-58.420399100539399,-34.580574835998206,AUTOMÁTICA,SARMIENTO AV. y CALZADA CIRCULAR PLAZA ITALIA,Av. Santa Fe y Av. Sarmiento,Estación automática: disponibilidad las 24 horas,estacion_automatica.png,Plaza Italia,05,Abril 2015 (pasó de ser Manual a Automática),5.263157894736842,2017-09-18 02:18:56.421359
-58.38039295142751,-34.606287204112135,AUTOMÁTICA,"PELLEGRINI, CARLOS y PERON, JUAN DOMINGO, TTE. GENERAL",Av. 9 de Julio y Tte. Gral Juan Domingo Perón,Estación automática: disponibilidad las 24 horas,estacion_automatica.png,Obelisco,07,Abril 2015 (pasó de ser Manual a Automática),0.000000000000000,2017-09-18 02:18:56.421359
-58.388656274108534,-34.610377113816774,AUTOMÁTICA,"YRIGOYEN, HIPOLITO AV. y CEVALLOS, VIRREY",Av. Hipólito Yrigoyen y Virrey Ceballos,Estación automática: disponibilidad las 24 horas,estacion_automatica.png,Congreso,08,Abril 2015 (pasó de ser Manual a Automática),8.333333333333332,2017-09-18 02:18:56.421359
-58.406547213138275,-34.584361909851772,AUTOMÁTICA,"DIAZ, CNEL. AV. y FRENCH",Parque Las Heras,Estación automática: disponibilidad las 24 horas,estacion_automatica.png,Parque Las Heras,09,Abril 2015 (pasó de ser Manual a Automática),3.703703703703703,2017-09-18 02:18:56.421359
-58.365149700023345,-34.615997839004535,AUTOMÁTICA,"1500 MOREAU DE JUSTO, ALICIA AV.",Moreau de Justo 1500,Estación automática: disponibilidad las 24 horas,estacion_automatica.png,Puerto Madero - UCA,10,Abril 2015 (pasó de ser Manual a Automática),0.000000000000000,2017-09-18 02:18:56.421359
