X,Y,NOMBRE,DOMICILIO,IMAGEN,AUTOMAT,OBSERV,NRO_EST,Horario,DIRE_NORM,BARRIO,COMUNA,PERIMETRO,AREA
106500.16143162159,105115.88423065052,Facultad de Derecho,Av. Pres.Figueroa Alcorta y  Juan A.Bibiloni,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),1,Estación automática: disponibilidad las 24 horas,"FIGUEROA ALCORTA, PRES. AV. y BIBILONI, JUAN A.",RECOLETA,2.00000000000,21246.61170237569,6140873.29113237930
108116.80440733292,104065.66366226709,Retiro,Av. Dr.Jose Ramos Mejia y Del Libertador Av,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),2,Estación automática: disponibilidad las 24 horas,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",RETIRO,1.00000000000,18081.94892034407,4534475.94253396990
108656.49918519761,101995.91283451696,Aduana,Av. Ing.Huergo y Av. Belgrano,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),3,Estación automática: disponibilidad las 24 horas,"HUERGO, ING. AV. y BELGRANO AV.",MONSERRAT,1.00000000000,6739.22229846068,2198621.94183999580
108654.49612111786,103052.10572584407,Plaza Roma,Lavalle y Bouchard,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),4,Estación automática: disponibilidad las 24 horas,LAVALLE y BOUCHARD,SAN NICOLAS,1.00000000000,6548.08474138703,2289007.58164465610
108614.19809928245,100142.80149745598,Parque Lezama,Av Martín García e Irala,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),6,Estación automática: disponibilidad las 24 horas,"GARCIA, MARTIN AV. e IRALA",SAN TELMO,1.00000000000,5178.05650459628,1232275.09247445730
103881.33505609119,105450.77109323155,Plaza Italia,Av. Santa Fe y Av. Sarmiento,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),5,Estación automática: disponibilidad las 24 horas,SARMIENTO AV. y CALZADA CIRCULAR PLAZA ITALIA,PALERMO,14.00000000000,21768.07488579441,15772496.33149999900
107549.78870855531,102596.08613638949,Obelisco,Av. 9 de Julio y Tte. Gral Juan Domingo Perón,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),7,Estación automática: disponibilidad las 24 horas,"PELLEGRINI, CARLOS y PERON, JUAN DOMINGO, TTE. GENERAL",SAN NICOLAS,1.00000000000,6548.08474138703,2289007.58164465610
106791.4847175571,102142.95542752882,Congreso,Av. Hipólito Yrigoyen y Virrey Ceballos,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),8,Estación automática: disponibilidad las 24 horas,"YRIGOYEN, HIPOLITO AV. y CEVALLOS, VIRREY",MONSERRAT,1.00000000000,6739.22229846068,2198621.94183999580
105152.08666025412,105030.0304865837,Parque Las Heras,Parque Las Heras,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),9,Estación automática: disponibilidad las 24 horas,"DIAZ, CNEL. AV. y FRENCH",PALERMO,14.00000000000,21768.07488579441,15772496.33149999900
108946.96695530482,101517.5804169874,Puerto Madero - UCA,Moreau de Justo 1500,estacion_automatica.png,AUTOMÁTICA,Abril 2015 (pasó de ser Manual a Automática),10,Estación automática: disponibilidad las 24 horas,"1500 MOREAU DE JUSTO, ALICIA AV.",PUERTO MADERO,1.00000000000,17782.04410535398,5027424.89718008600
