ORIGEN_ESTACION,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,515
1,266,197,5,12,91,6,6,0,93,1,0,47,2,93,5,13,14,13,11,0,26,15,4,54,8,25,6,7,29,9,6,32,8,31,0,1,13,2,0,1,29,83,15,7,6,1,0,26,7,7,9,9,4,6,4,28,53,8,6,4,20,12,20,34,0,14,10,7,5,1,4,3,8,18,4,38,8,3,1,6,15,12,16,3,7,5,45,44,8,0,1,0,6,14,0,0,4,0,3,50,2,0,3,1,4,2,2,14,4,20,1,21,26,1,0,52,1,7,17,15,20,11,4,1,3,4,32,149,2,3,5,14,4,0,0,0,0,21,4,3,1,0,0,1,1,4,10,6,3,0,6,2,61,2,2,5,73,7,4,7,3,19,21,6,3,0,15,5,8,5,13,1,1,16,1,0,14,3,4,0,0,2,0,1,30,18,3,9,12,1,0,0,0,0,1,0
2,164,88,25,34,22,16,5,0,31,19,0,33,5,43,34,0,19,13,7,2,16,23,8,6,67,7,4,1,16,8,29,20,41,29,19,2,23,50,0,14,12,15,18,4,14,27,1,22,8,3,6,3,44,0,5,21,11,37,29,5,41,18,3,2,0,10,4,1,20,6,3,1,6,11,3,4,14,2,11,2,17,6,3,3,7,2,16,35,4,2,7,0,9,5,0,0,2,1,2,26,4,0,3,2,2,0,0,42,4,2,1,11,7,0,4,11,0,1,0,8,12,7,5,11,2,2,18,20,46,0,11,15,1,6,3,0,0,25,4,1,8,0,0,3,6,3,17,19,4,1,3,2,15,1,4,0,18,0,3,7,24,5,12,1,8,1,0,1,7,1,11,5,4,11,1,1,0,0,6,0,0,0,1,0,21,1,2,1,5,1,1,0,0,0,0,0
3,10,23,85,27,1,31,4,0,7,67,0,17,4,6,18,3,11,5,0,0,2,7,8,1,45,6,5,6,2,0,19,5,9,9,5,1,5,7,0,8,4,0,11,12,9,8,0,4,2,0,1,1,7,0,6,1,0,9,17,8,3,1,0,1,0,8,0,0,5,10,9,0,7,6,0,4,70,1,11,0,9,1,2,2,1,6,3,1,0,1,4,0,6,2,0,1,0,0,0,1,0,0,3,0,5,0,0,17,14,1,0,2,4,1,1,1,1,0,0,0,2,0,9,0,3,0,4,41,15,0,1,2,1,40,1,0,0,11,3,0,4,0,0,7,7,4,114,71,29,17,3,0,4,0,0,1,2,1,0,0,99,0,2,0,4,0,2,0,2,16,10,1,19,1,0,0,1,0,11,0,4,0,1,0,3,0,5,3,0,2,0,1,0,0,1,0
4,11,14,16,144,4,27,5,0,10,40,0,11,5,8,20,3,3,5,1,0,6,6,7,2,89,5,7,3,1,6,9,3,11,23,14,1,5,3,0,9,2,1,8,7,6,10,0,4,3,5,1,0,25,0,6,0,1,13,14,3,4,5,1,2,0,7,0,0,1,19,6,1,7,9,1,2,29,1,4,2,5,6,3,0,2,0,1,0,5,0,4,1,6,3,0,0,1,1,0,2,0,0,0,0,11,1,1,99,7,0,1,1,3,6,7,1,0,5,0,1,2,1,2,1,7,1,8,97,11,0,0,4,1,32,0,0,0,2,1,1,3,0,3,4,17,0,70,39,12,13,1,0,1,0,0,1,1,1,0,12,39,3,2,4,0,0,1,2,6,3,9,6,3,0,0,4,0,0,1,0,0,1,1,0,4,2,0,1,5,3,0,2,0,0,2,0
5,80,19,0,1,301,2,2,0,49,1,0,9,5,119,2,14,4,2,14,1,2,1,3,34,14,3,17,25,13,14,2,13,1,4,1,1,6,1,2,4,14,164,4,0,0,0,0,13,2,1,1,32,1,28,0,30,16,0,4,0,2,13,47,42,0,3,1,25,1,1,1,12,3,7,0,2,4,2,4,13,3,3,26,0,6,2,22,11,2,1,5,2,4,21,0,0,16,31,15,43,6,1,1,0,1,17,4,10,1,42,0,8,14,2,0,9,1,20,19,34,38,21,0,2,0,30,6,11,1,23,10,6,43,4,0,0,1,8,33,7,11,6,2,4,1,0,5,1,0,0,6,0,52,2,3,36,82,12,3,8,1,19,16,7,6,0,7,3,1,0,4,2,0,78,0,1,15,6,2,0,2,3,3,1,1,9,0,3,6,8,0,0,0,0,0,0
6,3,13,54,12,1,239,5,0,16,16,0,4,24,4,15,8,23,4,2,10,3,9,11,4,16,10,13,2,6,1,19,4,8,12,4,2,2,1,14,10,2,1,4,16,3,17,4,6,4,9,4,7,10,0,4,4,0,2,14,3,1,6,2,1,0,4,2,2,6,12,49,1,3,9,3,2,11,9,22,3,6,9,3,3,9,1,0,3,6,4,16,0,4,3,0,0,0,0,1,5,2,4,8,2,16,0,2,30,5,0,0,2,5,14,0,7,5,0,0,0,0,0,66,0,3,3,3,24,3,0,6,4,2,16,3,5,3,18,0,0,0,0,11,29,20,3,70,16,21,44,0,3,1,2,1,0,2,3,5,12,37,3,0,5,8,0,1,1,47,13,17,4,79,1,3,2,1,0,5,1,0,0,3,0,1,1,6,0,2,1,3,8,0,0,1,0
7,8,1,2,6,1,6,26,0,4,1,0,5,9,3,3,4,19,13,3,0,10,8,10,1,6,10,3,1,0,2,1,10,7,5,8,3,10,12,2,5,9,0,5,3,3,4,0,0,3,3,2,0,5,1,0,0,2,2,3,0,2,2,3,1,0,21,1,1,7,2,10,2,7,27,4,2,0,1,4,2,18,4,5,1,3,2,4,3,9,0,4,0,0,10,0,0,2,0,0,1,3,1,13,3,2,2,3,13,15,1,0,3,4,1,0,2,1,1,1,1,2,2,4,0,1,0,2,17,13,1,5,3,1,2,0,1,3,14,2,0,2,0,2,4,14,9,4,4,1,0,4,1,5,0,0,1,2,1,1,12,5,2,4,2,17,1,0,3,4,3,5,3,2,1,0,1,4,0,10,0,0,0,0,1,3,0,7,5,0,1,0,0,1,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,81,15,6,0,59,11,0,0,277,4,0,37,5,50,5,31,14,3,11,1,25,11,5,55,6,16,18,25,91,18,1,60,4,11,1,1,11,0,3,2,22,65,12,7,1,2,1,25,4,18,0,44,3,34,1,16,93,5,0,2,7,44,34,69,0,22,5,32,2,1,2,20,9,13,2,1,2,2,0,30,8,17,51,1,6,5,64,59,9,1,2,1,5,27,0,0,10,12,4,73,3,1,17,1,3,13,17,2,2,31,0,16,55,1,13,33,6,21,22,37,38,10,1,0,9,14,0,15,3,4,59,4,10,1,1,12,5,14,15,37,10,3,3,2,3,2,2,3,0,2,40,10,43,2,4,7,42,26,2,19,2,29,40,7,4,4,20,8,3,3,14,3,0,11,2,3,47,2,3,0,3,3,4,2,7,28,3,8,26,5,0,1,3,0,0,0
